YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2018-2019,Chasson Randle,WAS,26,49,19,30,15.2,47,53,33.2,2.2,50.9,10.3,15.9,20.7,31,53.3,46.7,69.6,30.4,61.5,38.5
2018-2019,Cheick Diallo,NOP,22,64,27,37,14,98.5,1.5,86.3,15.5,0.8,12.1,12.9,12.9,70.8,82.6,17.4,100,0,82.7,17.3
2018-2019,Chimezie Metu,SAS,22,29,14,15,5,96.6,3.4,74.5,7.8,0,15.7,25.5,39.2,66.7,63.2,36.8,0,0,63.2,36.8
2018-2019,Chris Boucher,TOR,26,28,21,7,5.8,51.3,48.7,47.3,0,38.7,11.8,14,7.5,47.3,63.6,36.4,100,0,76.5,23.5
2018-2019,Chris Chiozza,HOU,23,7,6,1,4.6,37.5,62.5,0,0,100,0,0,50,0,0,0,100,0,100,0
2018-2019,Chris Paul,HOU,34,58,39,19,32,50.7,49.3,38.6,14.6,42.1,6.7,19.3,17.4,24.1,5.7,94.3,25.2,74.8,13.9,86.1
2018-2019,Christian Wood,NOP,23,21,13,8,11.9,77.8,22.2,60.5,4.7,15.7,14,23.8,13.4,55.8,67.3,32.7,100,0,72.1,27.9
2018-2019,Clint Capela,HOU,25,67,44,23,33.6,100,0,85.1,0,0,14.2,14.9,12.1,85.1,81.2,18.8,0,0,81.2,18.8
2018-2019,Cody Zeller,CHA,26,49,22,27,25.4,93.6,6.4,74,1.2,3.6,7.2,22.3,17.5,72.8,74.5,25.5,100,0,75.3,24.7
2018-2019,Collin Sexton,CLE,20,82,19,63,31.8,75.5,24.5,58.4,21.2,26,14.9,15.6,13.6,37.2,31.8,68.3,63.9,36.1,39.1,60.9
2018-2019,Corey Brewer,SAC,33,31,13,18,15.9,64.2,35.8,51.7,1.3,27.8,23.8,20.5,17.2,50.3,71.8,28.2,100,0,79.2,20.8
2018-2019,Cory Joseph,IND,27,82,48,34,25.2,68.8,31.2,63.7,26.8,30.7,11.4,5.6,17.5,36.9,26.9,73.1,92.7,7.3,42.9,57.1
2018-2019,Courtney Lee,DAL,33,34,6,28,12.6,57.4,42.6,54.4,26.5,35.3,12.5,10.3,16.2,27.9,64.9,35.1,81.3,18.8,69.8,30.2
2018-2019,Cristiano Felicio,CHI,26,60,16,44,12.4,97.8,2.2,79.2,3.3,0,8.3,20.8,12.9,75.8,69.5,30.5,0,0,69.5,30.5
2018-2019,D'Angelo Russell,BKN,23,81,42,39,30.2,58.1,41.9,49.6,15.4,41,11.4,9.3,14.1,34.2,15.5,84.5,53,47,28.8,71.2
2018-2019,D.J. Augustin,ORL,31,81,42,39,28,54.1,45.9,39.5,7,41.5,11.2,19.1,14.1,32.5,18.2,81.8,64.1,35.9,37.1,62.9
2018-2019,D.J. Wilson,MIL,23,48,37,11,18.4,49.4,50.6,41.4,6.4,49.3,9.3,9.3,19.3,35,77.6,22.4,95.7,4.3,85.6,14.4
2018-2019,DJ Stephens,MEM,28,1,0,1,6.7,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0
2018-2019,Dairis Bertans,NOP,29,12,3,9,13.9,27.7,72.3,11.8,11.8,88.2,8.8,0,0,0,50,50,100,0,91.7,8.3
2018-2019,Damian Jones,GSW,23,24,15,9,17.1,100,0,81.5,3.1,0,4.6,18.5,10,78.5,88.7,11.3,0,0,88.7,11.3
2018-2019,Damian Lillard,POR,28,80,51,29,35.5,58.1,41.9,43,12.7,34.4,10.2,22.6,13.4,30.3,19.4,80.6,46,54,28.6,71.4
2018-2019,Damion Lee,GSW,26,32,18,14,11.7,46.5,53.5,36.7,15.2,51.3,17.7,12,13.9,21.5,79.3,20.7,88.9,11.1,83.9,16.1
2018-2019,Damyean Dotson,NYK,25,73,12,61,27.4,51,49,42.1,20.8,48.5,12.8,9.4,14.1,21.3,56.7,43.3,88.1,11.9,70.3,29.7
2018-2019,Daniel Hamilton,ATL,23,19,7,12,10.7,61.7,38.3,52.6,3.5,42.1,12.3,5.3,7,49.1,26.7,73.3,100,0,52.2,47.8
2018-2019,Daniel Theis,BOS,27,66,38,28,13.8,74.8,25.2,64.2,5.9,20.9,3.5,15,12.8,58.3,79.2,20.8,96.2,3.8,82.2,17.8
2018-2019,Danilo Gallinari,LAC,30,68,40,28,30.3,57.9,42.1,36.8,10.7,35.9,7.6,27.3,14.5,26.2,46.4,53.6,84.5,15.5,61.4,38.6
2018-2019,Danny Green,TOR,31,80,56,24,27.7,31,69,23.1,6.3,72.4,21.8,4.5,15,16.8,62.1,37.9,91.4,8.6,81.9,18.1
2018-2019,Dante Cunningham,SAS,32,64,36,28,14.5,58.9,41.1,46.4,4.1,46.4,5.2,7.2,9.8,42.3,57.8,42.2,96.7,3.3,73.3,26.7
2018-2019,Dante Exum,UTA,23,42,21,21,15.8,74.3,25.7,57.6,0.7,18.8,10.8,23.6,19.4,56.9,33.7,66.3,94.4,5.6,44.6,55.4
2018-2019,Danuel House Jr.,HOU,26,39,27,12,25.1,29.4,70.6,24,0.5,60.7,16.7,15.3,16.7,23.5,77.3,22.7,91.9,8.1,86.4,13.6
2018-2019,Dario Saric,MIN,25,81,39,42,25,53.6,46.4,43.4,5.6,41.3,10.4,15.4,13.4,37.8,74.2,25.8,96.6,3.4,82.9,17.1
2018-2019,Darius Miller,NOP,29,69,31,38,25.5,24.8,75.2,19.8,11.6,70.4,10.6,9.9,12.9,8.1,62.5,37.5,93.2,6.8,84.1,15.9
2018-2019,Darren Collison,IND,31,76,45,31,28.2,70.6,29.4,53.7,25.3,27.8,17.5,18.5,21,28.4,31.9,68.1,73.4,26.6,42.5,57.5
2018-2019,Daryl Macon,DAL,23,8,4,4,11.2,59.3,40.7,34.5,13.8,51.7,6.9,13.8,6.9,20.7,20,80,60,40,40,60
